Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
West,Alaska,1991,No Death Penalty,7.37,1
West,Arizona,1991,Death Penalty,7.76,1
South,Arkansas,1991,Death Penalty,11.13,1
West,California,1991,Death Penalty,12.7,1
West,Colorado,1991,Death Penalty,5.89,1
Northeast,Connecticut,1991,Death Penalty,5.68,1
South,Delaware,1991,Death Penalty,5.44,1
South,Florida,1991,Death Penalty,9.4,1
South,Georgia,1991,Death Penalty,12.82,1
West,Hawaii,1991,No Death Penalty,3.96,1
West,Idaho,1991,Death Penalty,1.83,1
Midwest,Illinois,1991,Death Penalty,11.26,1
Midwest,Indiana,1991,Death Penalty,7.54,1
Midwest,Iowa,1991,No Death Penalty,2.04,1
Midwest,Kansas,1991,No Death Penalty,6.13,1
South,Kentucky,1991,Death Penalty,6.81,1
South,Louisiana,1991,Death Penalty,16.93,1
Northeast,Maine,1991,No Death Penalty,1.21,1
South,Maryland,1991,Death Penalty,11.71,1
Northeast,Massachusetts,1991,No Death Penalty,4.15,1
Midwest,Michigan,1991,No Death Penalty,10.77,1
Midwest,Minnesota,1991,No Death Penalty,2.96,1
South,Mississippi,1991,Death Penalty,12.81,1
Midwest,Missouri,1991,Death Penalty,10.53,1
West,Montana,1991,Death Penalty,2.6,1
Midwest,Nebraska,1991,Death Penalty,3.26,1
West,Nevada,1991,Death Penalty,11.84,1
Northeast,New Hampshire,1991,Death Penalty,3.62,1
Northeast,New Jersey,1991,Death Penalty,5.23,1
West,New Mexico,1991,Death Penalty,10.53,1
Northeast,New York,1991,No Death Penalty,14.24,1
South,North Carolina,1991,Death Penalty,11.41,1
Midwest,North Dakota,1991,No Death Penalty,1.1,1
Midwest,Ohio,1991,Death Penalty,7.16,1
South,Oklahoma,1991,Death Penalty,7.24,1
West,Oregon,1991,Death Penalty,4.55,1
Northeast,Pennsylvania,1991,Death Penalty,6.34,1
Northeast,Rhode Island,1991,No Death Penalty,3.69,1
South,South Carolina,1991,Death Penalty,11.29,1
Midwest,South Dakota,1991,Death Penalty,1.71,1
South,Tennessee,1991,Death Penalty,11.04,1
South,Texas,1991,Death Penalty,15.29,1
West,Utah,1991,Death Penalty,2.94,1
Northeast,Vermont,1991,No Death Penalty,2.12,1
South,Virginia,1991,Death Penalty,9.27,1
West,Washington,1991,Death Penalty,4.2,1
South,West Virginia,1991,No Death Penalty,6.16,1
Midwest,Wisconsin,1991,No Death Penalty,4.82,1
West,Wyoming,1991,Death Penalty,3.26,1
Midwest,x-Midwest,1991,Region,7.8,1
Northeast,x-Northeast,1991,Region,8.4,1
South,x-South,1991,Region,12.1,1
United States,x-United States,1991,Region,9.8,1
West,x-West,1991,Region,9.6,1
South,Alabama,1992,Death Penalty,11,1
West,Alaska,1992,No Death Penalty,7.5,1
West,Arizona,1992,Death Penalty,8.14,1
South,Arkansas,1992,Death Penalty,10.8,1
West,California,1992,Death Penalty,12.7,1
West,Colorado,1992,Death Penalty,6.22,1
Northeast,Connecticut,1992,Death Penalty,5.06,1
South,Delaware,1992,Death Penalty,4.64,1
South,Florida,1992,Death Penalty,8.96,1
South,Georgia,1992,Death Penalty,10.98,1
West,Hawaii,1992,No Death Penalty,3.62,1
West,Idaho,1992,Death Penalty,3.47,1
Midwest,Illinois,1992,Death Penalty,11.37,1
Midwest,Indiana,1992,Death Penalty,8.19,1
Midwest,Iowa,1992,No Death Penalty,1.56,1
Midwest,Kansas,1992,No Death Penalty,5.98,1
South,Kentucky,1992,Death Penalty,5.75,1
South,Louisiana,1992,Death Penalty,17.42,1
Northeast,Maine,1992,No Death Penalty,1.7,1
South,Maryland,1992,Death Penalty,12.14,1
